Cluster Representative	P-P Genomes
IMGVR_UViG_3300025127_000216	IMGVR_UViG_3300025127_000216
IMGVR_UViG_3300025128_001375	IMGVR_UViG_3300025128_001375
IMGVR_UViG_3300025128_001135	IMGVR_UViG_3300025128_001135
IMGVR_UViG_3300025128_001135	IMGVR_UViG_3300007963_000275
IMGVR_UViG_3300025128_001135	IMGVR_UViG_3300006929_000498
IMGVR_UViG_3300025129_000025	IMGVR_UViG_3300025129_000025
IMGVR_UViG_3300025129_000025	IMGVR_UViG_3300025158_000034
IMGVR_UViG_3300025129_000025	IMGVR_UViG_3300025997_000022
IMGVR_UViG_3300025129_000025	IMGVR_UViG_3300025017_000003
IMGVR_UViG_3300025129_000025	IMGVR_UViG_3300025033_000035
IMGVR_UViG_3300025131_000007	IMGVR_UViG_3300025131_000007
IMGVR_UViG_3300025131_000867	IMGVR_UViG_3300025131_000867
IMGVR_UViG_3300025131_001030	IMGVR_UViG_3300025131_001030
IMGVR_UViG_3300025131_001030	IMGVR_UViG_3300025141_002162
IMGVR_UViG_3300025131_001504	IMGVR_UViG_3300025131_001504
IMGVR_UViG_3300025131_000641	IMGVR_UViG_3300025131_000641
IMGVR_UViG_3300025132_000334	IMGVR_UViG_3300025132_000334
IMGVR_UViG_3300025132_001212	IMGVR_UViG_3300025132_001212
IMGVR_UViG_3300025133_001325	IMGVR_UViG_3300025133_001325
IMGVR_UViG_3300025133_000153	IMGVR_UViG_3300025133_000153
IMGVR_UViG_3300025133_000494	IMGVR_UViG_3300025133_000494
IMGVR_UViG_3300025133_000687	IMGVR_UViG_3300025133_000687
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025139_000042
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025003_000043
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025020_000018
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025022_000016
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025031_000026
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025032_000038
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025126_000061
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025129_000051
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025142_000013
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025786_000011
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025787_000002
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025831_000030
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025875_000092
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025842_000039
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025008_000005
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025022_000002
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025034_000076
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025036_000018
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025124_000042
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025833_000010
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025835_000041
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025839_000058
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025845_000034
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025850_000009
IMGVR_UViG_3300025139_000042	IMGVR_UViG_3300025997_000035
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300025140_000011
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300009686_000010
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300009774_000017
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300010331_000026
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300025147_000029
IMGVR_UViG_3300025140_000011	IMGVR_UViG_3300025834_000017
IMGVR_UViG_3300025141_000030	IMGVR_UViG_3300025141_000030
IMGVR_UViG_3300025141_001006	IMGVR_UViG_3300025141_001006
IMGVR_UViG_3300025141_000802	IMGVR_UViG_3300025141_000802
IMGVR_UViG_3300025141_000802	IMGVR_UViG_3300002514_000519
IMGVR_UViG_3300025141_000724	IMGVR_UViG_3300025141_000724
IMGVR_UViG_3300025151_000972	IMGVR_UViG_3300025151_000972
IMGVR_UViG_3300025151_001123	IMGVR_UViG_3300025151_001123
IMGVR_UViG_3300025168_001207	IMGVR_UViG_3300025168_001207
IMGVR_UViG_3300025168_002399	IMGVR_UViG_3300025168_002399
IMGVR_UViG_3300025229_000003	IMGVR_UViG_3300025229_000003
IMGVR_UViG_3300025261_000003	IMGVR_UViG_3300025261_000003
IMGVR_UViG_3300025261_000003	IMGVR_UViG_3300005513_000025
IMGVR_UViG_3300025267_000345	IMGVR_UViG_3300025267_000345
IMGVR_UViG_3300025267_000098	IMGVR_UViG_3300025267_000098
IMGVR_UViG_3300025270_000009	IMGVR_UViG_3300025270_000009
IMGVR_UViG_3300025274_000128	IMGVR_UViG_3300025274_000128
IMGVR_UViG_3300025277_000360	IMGVR_UViG_3300025277_000360
IMGVR_UViG_3300025282_000059	IMGVR_UViG_3300025282_000059
IMGVR_UViG_3300025282_000059	IMGVR_UViG_3300008218_000268
IMGVR_UViG_3300025282_000059	IMGVR_UViG_3300025280_000179
IMGVR_UViG_3300025284_000008	IMGVR_UViG_3300025284_000008
IMGVR_UViG_3300025288_000012	IMGVR_UViG_3300025288_000012
IMGVR_UViG_3300025288_000134	IMGVR_UViG_3300025288_000134
IMGVR_UViG_3300025288_000134	IMGVR_UViG_3300003830_000069
IMGVR_UViG_3300025288_000134	IMGVR_UViG_3300025018_000621
IMGVR_UViG_3300025288_000134	IMGVR_UViG_3300004106_000040
IMGVR_UViG_3300025288_000046	IMGVR_UViG_3300025288_000046
IMGVR_UViG_3300025291_000012	IMGVR_UViG_3300025291_000012
IMGVR_UViG_3300025291_000005	IMGVR_UViG_3300025291_000005
IMGVR_UViG_3300025291_000003	IMGVR_UViG_3300025291_000003
IMGVR_UViG_3300025291_000019	IMGVR_UViG_3300025291_000019
IMGVR_UViG_3300025292_000015	IMGVR_UViG_3300025292_000015
IMGVR_UViG_3300025292_000002	IMGVR_UViG_3300025292_000002
IMGVR_UViG_3300025294_000009	IMGVR_UViG_3300025294_000009
IMGVR_UViG_3300025294_000004	IMGVR_UViG_3300025294_000004
IMGVR_UViG_3300025294_000004	IMGVR_UViG_3300003187_000002
IMGVR_UViG_3300025294_000029	IMGVR_UViG_3300025294_000029
IMGVR_UViG_3300025294_000018	IMGVR_UViG_3300025294_000018
IMGVR_UViG_3300025294_000037	IMGVR_UViG_3300025294_000037
IMGVR_UViG_3300025294_000047	IMGVR_UViG_3300025294_000047
IMGVR_UViG_3300025294_000033	IMGVR_UViG_3300025294_000033
IMGVR_UViG_3300025294_000008	IMGVR_UViG_3300025294_000008
IMGVR_UViG_3300025294_000045	IMGVR_UViG_3300025294_000045
IMGVR_UViG_3300031595_000005	IMGVR_UViG_3300031595_000005
IMGVR_UViG_3300031612_000003	IMGVR_UViG_3300031612_000003
IMGVR_UViG_3300031613_000033	IMGVR_UViG_3300031613_000033
IMGVR_UViG_3300031613_000033	IMGVR_UViG_3300031404_000041
IMGVR_UViG_3300031613_000033	IMGVR_UViG_3300031209_000034
IMGVR_UViG_3300031621_000130	IMGVR_UViG_3300031621_000130
IMGVR_UViG_3300031629_000298	IMGVR_UViG_3300031629_000298
IMGVR_UViG_3300031630_000077	IMGVR_UViG_3300031630_000077
IMGVR_UViG_3300031660_000163	IMGVR_UViG_3300031660_000163
IMGVR_UViG_3300031660_000008	IMGVR_UViG_3300031660_000008
IMGVR_UViG_3300031660_000008	IMGVR_UViG_3300031696_000009
IMGVR_UViG_3300031669_000390	IMGVR_UViG_3300031669_000390
IMGVR_UViG_3300031669_000336	IMGVR_UViG_3300031669_000336
IMGVR_UViG_3300031669_000336	IMGVR_UViG_3300031578_001050
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031687_000178
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031630_000088
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031644_000066
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031656_000095
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031598_000100
IMGVR_UViG_3300031687_000178	IMGVR_UViG_3300031721_000151
IMGVR_UViG_3300031695_000044	IMGVR_UViG_3300031695_000044
IMGVR_UViG_3300031702_000048	IMGVR_UViG_3300031702_000048
IMGVR_UViG_3300031716_000076	IMGVR_UViG_3300031716_000076
IMGVR_UViG_3300031718_000059	IMGVR_UViG_3300031718_000059
IMGVR_UViG_3300031722_000001	IMGVR_UViG_3300031722_000001
IMGVR_UViG_3300031722_000200	IMGVR_UViG_3300031722_000200
IMGVR_UViG_3300031741_000017	IMGVR_UViG_3300031741_000017
IMGVR_UViG_3300031749_000042	IMGVR_UViG_3300031749_000042
IMGVR_UViG_3300031749_000006	IMGVR_UViG_3300031749_000006
IMGVR_UViG_3300031758_000761	IMGVR_UViG_3300031758_000761
IMGVR_UViG_3300031758_000761	IMGVR_UViG_3300032050_001160
IMGVR_UViG_3300031758_000761	IMGVR_UViG_3300032116_001742
IMGVR_UViG_3300031758_001221	IMGVR_UViG_3300031758_001221
IMGVR_UViG_3300031758_000549	IMGVR_UViG_3300031758_000549
IMGVR_UViG_3300031758_000549	IMGVR_UViG_3300031857_002978
IMGVR_UViG_3300031758_001611	IMGVR_UViG_3300031758_001611
IMGVR_UViG_3300031758_001656	IMGVR_UViG_3300031758_001656
IMGVR_UViG_3300031773_000150	IMGVR_UViG_3300031773_000150
IMGVR_UViG_3300031785_000175	IMGVR_UViG_3300031785_000175
IMGVR_UViG_3300031785_000210	IMGVR_UViG_3300031785_000210
IMGVR_UViG_3300031823_000033	IMGVR_UViG_3300031823_000033
IMGVR_UViG_3300031825_000013	IMGVR_UViG_3300031825_000013
IMGVR_UViG_3300031825_000042	IMGVR_UViG_3300031825_000042
IMGVR_UViG_3300031825_000017	IMGVR_UViG_3300031825_000017
IMGVR_UViG_3300031825_000039	IMGVR_UViG_3300031825_000039
IMGVR_UViG_3300031825_000009	IMGVR_UViG_3300031825_000009
IMGVR_UViG_3300031825_000043	IMGVR_UViG_3300031825_000043
IMGVR_UViG_3300031825_000089	IMGVR_UViG_3300031825_000089
IMGVR_UViG_3300031830_000002	IMGVR_UViG_3300031830_000002
IMGVR_UViG_3300031847_000003	IMGVR_UViG_3300031847_000003
IMGVR_UViG_3300031848_000014	IMGVR_UViG_3300031848_000014
IMGVR_UViG_3300031848_000014	IMGVR_UViG_3300031658_000086
IMGVR_UViG_3300031853_000079	IMGVR_UViG_3300031853_000079
IMGVR_UViG_3300031865_000001	IMGVR_UViG_3300031865_000001
IMGVR_UViG_3300031876_000014	IMGVR_UViG_3300031876_000014
IMGVR_UViG_3300031876_000007	IMGVR_UViG_3300031876_000007
IMGVR_UViG_3300031911_000030	IMGVR_UViG_3300031911_000030
IMGVR_UViG_3300031966_000002	IMGVR_UViG_3300031966_000002
IMGVR_UViG_3300031967_000003	IMGVR_UViG_3300031967_000003
IMGVR_UViG_3300032011_000266	IMGVR_UViG_3300032011_000266
IMGVR_UViG_3300032038_000017	IMGVR_UViG_3300032038_000017
IMGVR_UViG_3300032047_000150	IMGVR_UViG_3300032047_000150
IMGVR_UViG_3300032047_000029	IMGVR_UViG_3300032047_000029
IMGVR_UViG_3300032047_000029	IMGVR_UViG_3300031775_000149
IMGVR_UViG_3300032135_000039	IMGVR_UViG_3300032135_000039
IMGVR_UViG_3300032135_000039	IMGVR_UViG_3300031953_000078
IMGVR_UViG_3300032136_000060	IMGVR_UViG_3300032136_000060
IMGVR_UViG_3300032138_000006	IMGVR_UViG_3300032138_000006
IMGVR_UViG_3300032144_000044	IMGVR_UViG_3300032144_000044
IMGVR_UViG_3300032180_000004	IMGVR_UViG_3300032180_000004
IMGVR_UViG_3300032212_000119	IMGVR_UViG_3300032212_000119
IMGVR_UViG_3300032255_000005	IMGVR_UViG_3300032255_000005
IMGVR_UViG_3300032257_000032	IMGVR_UViG_3300032257_000032
IMGVR_UViG_3300032257_000096	IMGVR_UViG_3300032257_000096
IMGVR_UViG_3300032257_000013	IMGVR_UViG_3300032257_000013
IMGVR_UViG_3300032259_000012	IMGVR_UViG_3300032259_000012
IMGVR_UViG_3300032262_000011	IMGVR_UViG_3300032262_000011
IMGVR_UViG_3300032272_000022	IMGVR_UViG_3300032272_000022
IMGVR_UViG_3300032273_000001	IMGVR_UViG_3300032273_000001
IMGVR_UViG_3300032273_000007	IMGVR_UViG_3300032273_000007
IMGVR_UViG_3300032273_000004	IMGVR_UViG_3300032273_000004
IMGVR_UViG_3300032275_000032	IMGVR_UViG_3300032275_000032
IMGVR_UViG_3300032275_000032	IMGVR_UViG_3300031952_000252
IMGVR_UViG_3300032360_000014	IMGVR_UViG_3300032360_000014
IMGVR_UViG_3300032431_000001	IMGVR_UViG_3300032431_000001
IMGVR_UViG_3300032462_000084	IMGVR_UViG_3300032462_000084
IMGVR_UViG_3300032462_000084	IMGVR_UViG_3300007519_000099
IMGVR_UViG_3300032462_000084	IMGVR_UViG_3300007520_000101
IMGVR_UViG_3300033159_000005	IMGVR_UViG_3300033159_000005
IMGVR_UViG_3300033176_000055	IMGVR_UViG_3300033176_000055
NZ_CP020497	NZ_CP020497
NZ_CP020518	NZ_CP020518
NZ_CP020522	NZ_CP020522
NZ_CP020558	NZ_CP020558
NZ_CP020585	NZ_CP020585
NZ_CP020749	NZ_CP020749
NZ_CP020750	NZ_CP020750
NZ_CP020859	NZ_CP020859
NZ_CP020936	NZ_CP020936
NZ_CP021064	NZ_CP021064
NZ_CP021064	Bacilli_gi_452202137
NZ_CP021064	NC_020381
NZ_CP021064	Bacilli_gi_384183548
NZ_CP021064	NC_017204
NZ_CP021203	NZ_CP021203
NZ_CP021320	NZ_CP021320
NZ_CP021336	NZ_CP021336
NZ_CP021336	IMGVR_UViG_2537562194_000005
NZ_CP021336	Gammaproteobacteria_gi_546183750
NZ_CP021336	NZ_CP021340
NZ_CP021336	IMGVR_UViG_2579779049_000008
NZ_CP021336	IMGVR_UViG_2537562194_000004
NZ_CP021514	NZ_CP021514
NZ_CP021537	NZ_CP021537
NZ_CP021670	NZ_CP021670
NZ_CP021678	NZ_CP021678
NZ_CP021714	NZ_CP021714
NZ_CP021720	NZ_CP021720
NZ_CP021720	NZ_CP020051
NZ_CP021729	NZ_CP021729
NZ_CP021760	NZ_CP021760
NZ_CP021835	NZ_CP021835
NZ_CP021842	NZ_CP021842
NZ_CP021846	NZ_CP021846
NZ_CP021897	NZ_CP021897
NZ_CP021897	IMGVR_UViG_2576861263_000002
NZ_CP021940	NZ_CP021940
NZ_CP021942	NZ_CP021942
NZ_CP021945	NZ_CP021945
NZ_CP021945	NZ_CP074089
NZ_CP021949	NZ_CP021949
NZ_CP021957	NZ_CP021957
NZ_CP021962	NZ_CP021962
NZ_CP022085	NZ_CP022085
NZ_CP022128	NZ_CP022128
NZ_CP022155	NZ_CP022155
NZ_CP022167	NZ_CP022167
NZ_CP022228	NZ_CP022228
NZ_CP022659	NZ_CP022659
NZ_CP022660	NZ_CP022660
NZ_CP022733	NZ_CP022733
NZ_CP023025	NZ_CP023025
NZ_CP023368	NZ_CP023368
NZ_CP023381	NZ_CP023381
NZ_CP023421	NZ_CP023421
NZ_CP023686	NZ_CP023686
NZ_CP023732	NZ_CP023732
NZ_CP023851	NZ_CP023851
NZ_CP023896	NZ_CP023896
NZ_CP023961	NZ_CP023961
NZ_CP023984	NZ_CP023984
NZ_CP024062	NZ_CP024062
NZ_CP024209	NZ_CP024209
NZ_CP024264	NZ_CP024264
NZ_CP024271	NZ_CP024271
NZ_CP024288	NZ_CP024288
NZ_CP024323	NZ_CP024323
NZ_CP024325	NZ_CP024325
NZ_CP024338	NZ_CP024338
NZ_CP024357	NZ_CP024357
NZ_CP024378	NZ_CP024378
NZ_CP024381	NZ_CP024381
NZ_CP024382	NZ_CP024382
NZ_CP024395	NZ_CP024395
NZ_CP024395	NZ_CP024321
NZ_CP024395	NZ_CP024211
NZ_CP024433	NZ_CP024433
NZ_CP024460	NZ_CP024460
NZ_CP024609	NZ_CP024609
NZ_CP024817	NZ_CP024817
NZ_CP024829	NZ_CP024829
NZ_CP024832	NZ_CP024832
NZ_CP024837	NZ_CP024837
NZ_CP024841	NZ_CP024841
NZ_CP024841	NZ_CP031794
NZ_CP024841	NZ_LR890486
NZ_CP024865	NZ_CP024865
NZ_CP024877	NZ_CP024877
NZ_CP025141	NZ_CP025141
NZ_CP025144	NZ_CP025144
NZ_CP025147	NZ_CP025147
NZ_CP025589	NZ_CP025589
NZ_CP025868	NZ_CP025868
NZ_CP025868	IMGVR_UViG_2537561932_000008
NZ_CP025870	NZ_CP025870
NZ_CP025883	NZ_CP025883
NZ_CP025894	NZ_CP025894
NZ_CP026128	NZ_CP026128
NZ_CP026134	NZ_CP026134
NZ_CP026134	NZ_CP026150
NZ_CP026138	NZ_CP026138
NZ_CP026146	NZ_CP026146
NZ_CP026165	NZ_CP026165
NZ_CP026270	NZ_CP026270
NZ_CP026278	NZ_CP026278
NZ_CP026475	NZ_CP026475
NZ_CP026725	NZ_CP026725
NZ_CP026760	NZ_CP026760
NZ_CP026760	UGV-GENOME-0315964
NZ_CP026760	MGV-GENOME-0315964
IMGVR_UViG_2531839193_000005	IMGVR_UViG_2531839193_000005
IMGVR_UViG_2531839195_000002	IMGVR_UViG_2531839195_000002
IMGVR_UViG_2531839195_000003	IMGVR_UViG_2531839195_000003
IMGVR_UViG_2531839195_000004	IMGVR_UViG_2531839195_000004
IMGVR_UViG_2531839195_000004	IMGVR_UViG_2526164621_000003
IMGVR_UViG_2531839207_000003	IMGVR_UViG_2531839207_000003
IMGVR_UViG_2531839235_000004	IMGVR_UViG_2531839235_000004
IMGVR_UViG_2531839235_000004	IMGVR_UViG_2541047122_000005
IMGVR_UViG_2531839235_000004	IMGVR_UViG_2531839234_000005
IMGVR_UViG_2531839235_000004	Gammaproteobacteria_gi_452701617
IMGVR_UViG_2531839235_000004	IMGVR_UViG_2534682109_000004
IMGVR_UViG_2531839335_000002	IMGVR_UViG_2531839335_000002
IMGVR_UViG_2531839355_000002	IMGVR_UViG_2531839355_000002
IMGVR_UViG_2531839356_000002	IMGVR_UViG_2531839356_000002
IMGVR_UViG_2531839369_000002	IMGVR_UViG_2531839369_000002
IMGVR_UViG_2531839373_000001	IMGVR_UViG_2531839373_000001
IMGVR_UViG_2531839374_000004	IMGVR_UViG_2531839374_000004
IMGVR_UViG_2531839374_000004	IMGVR_UViG_2540341028_000002
IMGVR_UViG_2531839448_000001	IMGVR_UViG_2531839448_000001
IMGVR_UViG_2531839449_000004	IMGVR_UViG_2531839449_000004
IMGVR_UViG_2531839449_000008	IMGVR_UViG_2531839449_000008
IMGVR_UViG_2531839450_000001	IMGVR_UViG_2531839450_000001
IMGVR_UViG_2531839450_000002	IMGVR_UViG_2531839450_000002
IMGVR_UViG_2531839450_000003	IMGVR_UViG_2531839450_000003
IMGVR_UViG_2531839461_000001	IMGVR_UViG_2531839461_000001
IMGVR_UViG_2531839468_000004	IMGVR_UViG_2531839468_000004
IMGVR_UViG_2531839476_000002	IMGVR_UViG_2531839476_000002
IMGVR_UViG_2531839476_000005	IMGVR_UViG_2531839476_000005
IMGVR_UViG_2531839476_000006	IMGVR_UViG_2531839476_000006
IMGVR_UViG_2531839486_000003	IMGVR_UViG_2531839486_000003
IMGVR_UViG_2531839537_000001	IMGVR_UViG_2531839537_000001
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2531839635_000003
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2529292948_000002
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2529292949_000002
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2534681845_000002
IMGVR_UViG_2531839635_000003	Gammaproteobacteria_gi_452740514
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2534681846_000002
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2529293185_000001
IMGVR_UViG_2531839635_000003	IMGVR_UViG_2534681845_000003
IMGVR_UViG_2531839635_000003	Gammaproteobacteria_gi_402295634
IMGVR_UViG_2531839635_000003	Gammaproteobacteria_gi_424051190
IMGVR_UViG_2531839664_000001	IMGVR_UViG_2531839664_000001
IMGVR_UViG_2531839664_000002	IMGVR_UViG_2531839664_000002
IMGVR_UViG_2531839665_000004	IMGVR_UViG_2531839665_000004
IMGVR_UViG_2531839666_000006	IMGVR_UViG_2531839666_000006
IMGVR_UViG_2531839667_000004	IMGVR_UViG_2531839667_000004
IMGVR_UViG_2531839677_000001	IMGVR_UViG_2531839677_000001
IMGVR_UViG_2534681629_000001	IMGVR_UViG_2534681629_000001
IMGVR_UViG_2534681634_000003	IMGVR_UViG_2534681634_000003
IMGVR_UViG_2534681655_000004	IMGVR_UViG_2534681655_000004
IMGVR_UViG_2534681655_000005	IMGVR_UViG_2534681655_000005
IMGVR_UViG_2534681655_000005	IMGVR_UViG_2537562217_000006
IMGVR_UViG_2534681655_000005	IMGVR_UViG_2534681698_000006
IMGVR_UViG_2534681658_000002	IMGVR_UViG_2534681658_000002
IMGVR_UViG_2534681661_000003	IMGVR_UViG_2534681661_000003
IMGVR_UViG_2534681663_000004	IMGVR_UViG_2534681663_000004
IMGVR_UViG_2534681674_000003	IMGVR_UViG_2534681674_000003
IMGVR_UViG_2534681674_000005	IMGVR_UViG_2534681674_000005
IMGVR_UViG_2534681674_000006	IMGVR_UViG_2534681674_000006
IMGVR_UViG_2534681675_000002	IMGVR_UViG_2534681675_000002
IMGVR_UViG_2534681675_000007	IMGVR_UViG_2534681675_000007
IMGVR_UViG_2534681703_000011	IMGVR_UViG_2534681703_000011
IMGVR_UViG_2534681705_000006	IMGVR_UViG_2534681705_000006
IMGVR_UViG_2534681709_000001	IMGVR_UViG_2534681709_000001
IMGVR_UViG_3300010163_000270	IMGVR_UViG_3300010163_000270
IMGVR_UViG_3300010165_000005	IMGVR_UViG_3300010165_000005
IMGVR_UViG_3300010167_000051	IMGVR_UViG_3300010167_000051
IMGVR_UViG_3300010167_000051	IMGVR_UViG_3300010882_000017
IMGVR_UViG_3300010212_000004	IMGVR_UViG_3300010212_000004
IMGVR_UViG_3300010212_000004	IMGVR_UViG_3300010206_000002
IMGVR_UViG_3300010218_000004	IMGVR_UViG_3300010218_000004
IMGVR_UViG_3300010221_000010	IMGVR_UViG_3300010221_000010
IMGVR_UViG_3300010224_000004	IMGVR_UViG_3300010224_000004
IMGVR_UViG_3300010225_000005	IMGVR_UViG_3300010225_000005
IMGVR_UViG_3300010225_000005	IMGVR_UViG_3300010217_000002
IMGVR_UViG_3300010226_000002	IMGVR_UViG_3300010226_000002
IMGVR_UViG_3300010226_000002	IMGVR_UViG_3300010231_000027
IMGVR_UViG_3300010231_000002	IMGVR_UViG_3300010231_000002
IMGVR_UViG_3300010231_000002	IMGVR_UViG_3300010384_000002
IMGVR_UViG_3300010231_000002	IMGVR_UViG_3300010224_000012
IMGVR_UViG_3300010233_000037	IMGVR_UViG_3300010233_000037
IMGVR_UViG_3300010244_000005	IMGVR_UViG_3300010244_000005
IMGVR_UViG_3300010389_000172	IMGVR_UViG_3300010389_000172
IMGVR_UViG_3300010389_000214	IMGVR_UViG_3300010389_000214
IMGVR_UViG_3300010389_000308	IMGVR_UViG_3300010389_000308
IMGVR_UViG_3300010389_000493	IMGVR_UViG_3300010389_000493
IMGVR_UViG_3300010391_000097	IMGVR_UViG_3300010391_000097
IMGVR_UViG_3300010392_000001	IMGVR_UViG_3300010392_000001
IMGVR_UViG_3300010392_000673	IMGVR_UViG_3300010392_000673
IMGVR_UViG_3300010392_001218	IMGVR_UViG_3300010392_001218
IMGVR_UViG_3300010392_001218	IMGVR_UViG_3300010430_000659
IMGVR_UViG_3300010396_000106	IMGVR_UViG_3300010396_000106
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300010430_000009
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300027758_000009
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300027978_000018
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300005601_000014
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300005609_000016
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300005612_000014
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300005920_000016
IMGVR_UViG_3300010430_000009	IMGVR_UViG_3300027967_000009
IMGVR_UViG_3300010430_000108	IMGVR_UViG_3300010430_000108
IMGVR_UViG_3300010430_000149	IMGVR_UViG_3300010430_000149
IMGVR_UViG_3300010430_000254	IMGVR_UViG_3300010430_000254
IMGVR_UViG_3300010430_000254	IMGVR_UViG_3300005590_000072
IMGVR_UViG_3300010430_000254	IMGVR_UViG_3300005600_000057
IMGVR_UViG_3300010430_000402	IMGVR_UViG_3300010430_000402
IMGVR_UViG_3300010430_000682	IMGVR_UViG_3300010430_000682
IMGVR_UViG_3300010430_000682	IMGVR_UViG_3300010392_000240
IMGVR_UViG_3300010883_000136	IMGVR_UViG_3300010883_000136
IMGVR_UViG_3300010883_000580	IMGVR_UViG_3300010883_000580
IMGVR_UViG_3300010883_001437	IMGVR_UViG_3300010883_001437
IMGVR_UViG_3300010883_001868	IMGVR_UViG_3300010883_001868
IMGVR_UViG_3300010938_000164	IMGVR_UViG_3300010938_000164
IMGVR_UViG_3300011008_000005	IMGVR_UViG_3300011008_000005
IMGVR_UViG_3300011008_000005	IMGVR_UViG_3300020039_000110
IMGVR_UViG_3300011008_000005	IMGVR_UViG_3300011005_000048
IMGVR_UViG_3300013105_000083	IMGVR_UViG_3300013105_000083
IMGVR_UViG_3300013307_000077	IMGVR_UViG_3300013307_000077
IMGVR_UViG_3300014501_000024	IMGVR_UViG_3300014501_000024
IMGVR_UViG_3300015360_000399	IMGVR_UViG_3300015360_000399
IMGVR_UViG_3300015371_000193	IMGVR_UViG_3300015371_000193
IMGVR_UViG_3300015374_000029	IMGVR_UViG_3300015374_000029
IMGVR_UViG_3300017710_000088	IMGVR_UViG_3300017710_000088
IMGVR_UViG_3300017725_000039	IMGVR_UViG_3300017725_000039
IMGVR_UViG_3300017725_000039	IMGVR_UViG_3300017742_000086
IMGVR_UViG_3300017786_000481	IMGVR_UViG_3300017786_000481
IMGVR_UViG_3300017788_000028	IMGVR_UViG_3300017788_000028
IMGVR_UViG_3300017788_000028	IMGVR_UViG_3300013132_000141
IMGVR_UViG_3300017788_000061	IMGVR_UViG_3300017788_000061
IMGVR_UViG_3300017788_000126	IMGVR_UViG_3300017788_000126
IMGVR_UViG_3300017788_000302	IMGVR_UViG_3300017788_000302
IMGVR_UViG_3300017788_000478	IMGVR_UViG_3300017788_000478
IMGVR_UViG_3300018493_000649	IMGVR_UViG_3300018493_000649
IMGVR_UViG_3300018495_000782	IMGVR_UViG_3300018495_000782
IMGVR_UViG_3300018719_000004	IMGVR_UViG_3300018719_000004
IMGVR_UViG_3300018719_000006	IMGVR_UViG_3300018719_000006
IMGVR_UViG_3300018839_000003	IMGVR_UViG_3300018839_000003
IMGVR_UViG_3300018875_000001	IMGVR_UViG_3300018875_000001
IMGVR_UViG_3300018875_000013	IMGVR_UViG_3300018875_000013
IMGVR_UViG_3300018877_000006	IMGVR_UViG_3300018877_000006
IMGVR_UViG_3300018877_000009	IMGVR_UViG_3300018877_000009
IMGVR_UViG_3300018891_000001	IMGVR_UViG_3300018891_000001
IMGVR_UViG_3300018891_000004	IMGVR_UViG_3300018891_000004
IMGVR_UViG_3300018891_000004	IMGVR_UViG_3300018875_000014
IMGVR_UViG_3300018910_000002	IMGVR_UViG_3300018910_000002
